"year","average_payroll","industry_name","industry_branch_code","category_code","product_name","average_price_value","price_value","price_unit","gdp"
2006,19242.000000000000,Činnosti v oblasti nemovitostí,L,115201,Rostlinný roztíratelný tuk,69.45212000000001,1.0,kg,197470142753.551
2006,19242.000000000000,Činnosti v oblasti nemovitostí,L,118101,Cukr krystalový,21.72661333333332,1.0,kg,197470142753.551
2006,19242.000000000000,Činnosti v oblasti nemovitostí,L,116101,Pomeranče,24.733173333333344,1.0,kg,197470142753.551
2006,19242.000000000000,Činnosti v oblasti nemovitostí,L,112704,Šunkový salám,116.77441333333331,1.0,kg,197470142753.551
2006,19242.000000000000,Činnosti v oblasti nemovitostí,L,111301,Chléb konzumní kmínový,16.12364000000001,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,112401,Kuřata kuchaná celá,47.473759999999935,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,117101,Rajská jablka červená kulatá,57.82961333333327,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,115101,Máslo,104.38782666666678,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,116104,Jablka konzumní,30.7145466666667,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,112704,Šunkový salám,116.77441333333331,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,111301,Chléb konzumní kmínový,16.12364000000001,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,111303,Pečivo pšeničné bílé,38.59642666666655,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,117106,Mrkev,14.40926666666668,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,114401,Jogurt bílý netučný,5.829360000000006,150.0,g,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,114701,Vejce slepičí čerstvá,23.494839999999968,10.0,ks,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,112201,Vepřová pečeně s kostí,105.17778666666688,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,111101,Rýže loupaná dlouhozrnná,21.289666666666687,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,111602,Těstoviny vaječné,26.095533333333353,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,112101,Hovězí maso zadní bez kosti,166.33740000000034,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,114201,Mléko polotučné pasterované,14.437839999999992,1.0,l,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,115201,Rostlinný roztíratelný tuk,69.45212000000001,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,2000001,Kapr živý,69.34977777777779,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,111201,Pšeničná mouka hladká,7.407573333333331,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,116101,Pomeranče,24.733173333333344,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,213201,"Pivo výčepní, světlé, lahvové",8.449613333333339,0.5,l,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,114501,Eidamská cihla,110.94665333333347,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,122102,Přírodní minerální voda uhličitá,7.687920000000003,1.0,l,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,117401,Konzumní brambory,12.074919999999992,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,118101,Cukr krystalový,21.72661333333332,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,117103,Papriky,35.310159999999996,1.0,kg,197470142753.551
2006,19256.750000000000,Doprava a skladování,H,116103,Banány žluté,27.304640000000003,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,122102,Přírodní minerální voda uhličitá,7.687920000000003,1.0,l,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,112401,Kuřata kuchaná celá,47.473759999999935,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,114401,Jogurt bílý netučný,5.829360000000006,150.0,g,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,117101,Rajská jablka červená kulatá,57.82961333333327,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,111303,Pečivo pšeničné bílé,38.59642666666655,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,114701,Vejce slepičí čerstvá,23.494839999999968,10.0,ks,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,116101,Pomeranče,24.733173333333344,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,111101,Rýže loupaná dlouhozrnná,21.289666666666687,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,116104,Jablka konzumní,30.7145466666667,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,112704,Šunkový salám,116.77441333333331,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,111301,Chléb konzumní kmínový,16.12364000000001,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,115101,Máslo,104.38782666666678,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,115201,Rostlinný roztíratelný tuk,69.45212000000001,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,112201,Vepřová pečeně s kostí,105.17778666666688,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,118101,Cukr krystalový,21.72661333333332,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,117103,Papriky,35.310159999999996,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,213201,"Pivo výčepní, světlé, lahvové",8.449613333333339,0.5,l,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,111602,Těstoviny vaječné,26.095533333333353,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,117106,Mrkev,14.40926666666668,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,2000001,Kapr živý,69.34977777777779,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,117401,Konzumní brambory,12.074919999999992,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,114201,Mléko polotučné pasterované,14.437839999999992,1.0,l,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,111201,Pšeničná mouka hladká,7.407573333333331,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,114501,Eidamská cihla,110.94665333333347,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,112101,Hovězí maso zadní bez kosti,166.33740000000034,1.0,kg,197470142753.551
2006,35793.000000000000,Informační a komunikační činnosti,J,116103,Banány žluté,27.304640000000003,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,117106,Mrkev,14.40926666666668,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,115101,Máslo,104.38782666666678,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,116103,Banány žluté,27.304640000000003,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,114201,Mléko polotučné pasterované,14.437839999999992,1.0,l,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,117101,Rajská jablka červená kulatá,57.82961333333327,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,122102,Přírodní minerální voda uhličitá,7.687920000000003,1.0,l,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,116104,Jablka konzumní,30.7145466666667,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,117401,Konzumní brambory,12.074919999999992,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,116101,Pomeranče,24.733173333333344,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,115201,Rostlinný roztíratelný tuk,69.45212000000001,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,111602,Těstoviny vaječné,26.095533333333353,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,114501,Eidamská cihla,110.94665333333347,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,114701,Vejce slepičí čerstvá,23.494839999999968,10.0,ks,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,117103,Papriky,35.310159999999996,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,114401,Jogurt bílý netučný,5.829360000000006,150.0,g,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,112201,Vepřová pečeně s kostí,105.17778666666688,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,111301,Chléb konzumní kmínový,16.12364000000001,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,112704,Šunkový salám,116.77441333333331,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,111303,Pečivo pšeničné bílé,38.59642666666655,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,112401,Kuřata kuchaná celá,47.473759999999935,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,111201,Pšeničná mouka hladká,7.407573333333331,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,118101,Cukr krystalový,21.72661333333332,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,112101,Hovězí maso zadní bez kosti,166.33740000000034,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,111101,Rýže loupaná dlouhozrnná,21.289666666666687,1.0,kg,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,213201,"Pivo výčepní, světlé, lahvové",8.449613333333339,0.5,l,197470142753.551
2006,16827.250000000000,"Kulturní, zábavní a rekreační činnosti",R,2000001,Kapr živý,69.34977777777779,1.0,kg,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,117106,Mrkev,14.40926666666668,1.0,kg,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,114201,Mléko polotučné pasterované,14.437839999999992,1.0,l,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,118101,Cukr krystalový,21.72661333333332,1.0,kg,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,213201,"Pivo výčepní, světlé, lahvové",8.449613333333339,0.5,l,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,116103,Banány žluté,27.304640000000003,1.0,kg,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,114501,Eidamská cihla,110.94665333333347,1.0,kg,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,111602,Těstoviny vaječné,26.095533333333353,1.0,kg,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,117101,Rajská jablka červená kulatá,57.82961333333327,1.0,kg,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,122102,Přírodní minerální voda uhličitá,7.687920000000003,1.0,l,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,111201,Pšeničná mouka hladká,7.407573333333331,1.0,kg,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,114401,Jogurt bílý netučný,5.829360000000006,150.0,g,197470142753.551
2006,16483.750000000000,Ostatní činnosti,S,111303,Pečivo pšeničné bílé,38.59642666666655,1.0,kg,197470142753.551
